id,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,ID9,ID10,ID11,ID12,ID13,ID14,ID15,ID16,ID17,ID18,ID19,ID20,ID21,ID22,ID23,ID24,ID25,ID26,ID27,ID28,ID29,ID30,ID31,ID32,ID33,ID34,ID35,ID36,ID37,ID38,ID39,ID40,ID41,ID42,ID43,ID44,ID45,ID46,ID47,ID48,ID49,ID50,ID51,ID52,ID53,ID54,ID55,ID56,ID57,ID58,ID59,ID60,ID61,ID62,ID63,ID64,ID65,ID66,ID67,ID68,ID69,ID70,ID71,ID72,ID73,ID74,ID75,ID76,ID77,ID78,ID79,ID80,ID81,ID82,ID83,ID84,ID85,ID86,ID87,ID88,ID89,ID90
P10,2.6463971,2.1239653,1.4317,1.3306783,2.0451014,2.0963519,3.3649468,1.9531209,1.4098002,1.9659749,3.3938549,1.5487199,1.7645658,2.082585,-0.2000454,1.7895976,2.4223416,2.4659291,-0.1353965,2.0645446,1.0925625,2.5086269,0.8795889,1.5101767,1.9426329,1.7544765,0.9703464,2.2251317,1.8823869,2.2673045,1.6721303,1.7607225,2.8403864,1.8984418,2.3028228,1.972731,3.2400703,1.7874398,2.0311568,2.250232,2.3780409,2.0610594,2.0745198,1.8660596,0.5164866,2.3785893,2.290527,1.5110755,1.1686124,2.2447964,1.5275189,2.1011717,2.035394,1.8452242,0.8908956,2.6156282,1.589403,2.3136466,2.1541512,-0.5549064,2.0698772,0.1045318,1.5846525,1.2240208,0.3887179,2.0169611,1.8918777,2.221908,0.515783,0.735079,1.8322105,0.9701983,2.325903,1.2497797,1.4632729,0.5628003,2.6066239,2.341913,2.4177706,2.2166734,2.4467686,1.3656839,3.0107603,4.44992,2.4942084,1.9164944,1.4197573,0.8557036,-0.4070805,0.7549734
P11,2.8796446,2.4678257,1.8227285,1.7112989,2.7009033,2.7120758,3.9087578,2.1137303,1.9207108,2.4701857,4.0036035,1.9226029,2.679949,2.8683253,0.647573,2.5768734,2.9558929,3.3860816,0.2910861,3.0254669,2.2890774,3.5280152,1.3632398,1.9803466,2.5342297,2.312413,1.6926433,2.8416993,2.512286,2.9588842,2.5085422,2.6289521,3.5987826,2.8030833,3.1119832,2.9074276,3.7533622,2.9335404,2.6209066,2.731231,2.7047051,2.1484666,2.452239,1.9833336,0.68614,2.582438,2.3938668,1.9740939,2.0089099,2.8239382,2.1915388,2.835328,1.8686553,2.3206779,1.3406251,3.312541,2.1085639,3.0303845,2.5809815,0.2356415,2.7172571,1.1108265,2.4303202,1.6161366,1.5667525,2.5988982,2.8673787,2.7460865,1.1404163,1.5850115,2.4705986,1.427509,3.2634502,2.1039144,2.0879791,1.753792,3.5452499,3.1549245,3.4769272,3.5766636,3.4236539,2.1439793,3.6061462,4.5083761,2.710015,2.2743865,1.9506075,1.055557,0.2189836,0.9669706
P12,2.6898176,2.4944884,2.0408933,1.8341012,2.7717632,3.0693256,3.920798,2.295782,1.9970362,2.5198534,4.2494169,2.1163136,2.7610283,2.880814,0.7966556,2.4073401,3.0027889,3.463063,0.5768573,3.1231033,2.333152,3.6767288,1.4011487,2.3092281,2.4499618,2.3877027,1.6815364,3.0146257,2.6006528,3.0689599,2.930695,2.6863667,3.6831805,2.9190763,3.3119501,3.0021807,4.2091842,3.307947,2.9302265,3.1039687,2.9545654,2.1192991,2.7042642,2.268723,0.7912937,2.6634448,2.6588454,1.6536452,1.7643325,3.1397151,2.6314476,3.0151295,2.6003641,2.3048767,1.374627,3.2113825,2.2250458,2.8709933,2.7702428,0.3179626,2.8576055,1.1360179,2.5404202,1.8879545,1.8078844,2.9240401,2.9479523,2.8913771,1.0378889,1.5159222,2.5002213,1.4516459,3.1367297,2.5664297,2.279918,1.6384145,3.6990291,3.3716735,4.2735405,3.6920851,3.5495506,2.3922969,4.0612404,4.7891475,2.7460125,2.6322096,2.6684809,1.224275,0.1690039,1.2102444
P13,3.6795774,2.3962975,1.9681841,1.7246961,2.2594762,2.1705831,3.7505899,1.8751263,2.1205411,3.3539205,5.0227179,2.5754172,2.6941919,3.1304383,-0.6361424,2.526577,3.2864358,2.788885,-0.1555676,2.7511577,2.5077167,2.8313324,1.632352,2.2770171,1.1102885,2.2561262,1.3872112,3.4698595,2.864359,3.7254213,1.9131339,3.2662979,2.9660941,3.0282944,3.2972592,2.9221268,3.0683623,2.5343248,2.3538838,2.6961892,2.7042186,2.6824383,2.5509687,1.5417463,0.3335569,2.788471,2.4693242,1.3171547,2.0211306,3.0423569,2.215011,2.8418915,1.6002646,2.0395962,1.6414916,2.9064414,2.3917938,2.2657407,2.1132172,-0.789717,2.2558174,1.4486783,1.899542,0.582136,1.2506119,2.1399654,1.6740193,1.5713987,0.9492864,1.0914622,1.9957352,1.6044017,1.9154755,2.3673645,1.8649587,1.0297653,3.3710373,2.5446564,2.7345416,2.537913,2.3905776,1.9121949,2.5795245,3.6741552,2.8236042,1.761752,1.5532401,0.9303357,-0.1966325,0.7147899
P14,3.405419,2.1759125,1.7457222,2.0422719,2.2431154,2.2264276,3.7159626,1.8488237,1.9852794,2.6671214,4.8032026,2.5583067,2.7090896,3.039845,-0.1617679,3.0061736,3.6173477,3.2093641,0.1786947,3.1664321,2.6565481,3.2416959,1.9625082,2.6929067,2.0676418,2.5368053,1.8640638,3.6971372,3.1793964,3.9750306,2.5508468,3.5188305,3.5250972,3.2855446,3.7471745,3.4467079,3.6698164,3.4105836,2.8568031,3.0797341,2.8821515,2.7962109,3.192871,2.1240386,0.6620103,2.7030344,2.2707878,1.2707007,1.905791,2.7885464,2.0288864,2.4855584,1.5960369,1.9999132,1.5125924,2.8174401,2.2879299,2.3071924,2.8976978,-0.3084964,2.8610559,1.7127777,2.5078807,0.8771225,1.7128371,3.1075046,2.3666254,2.5207442,1.5063948,1.6907568,2.4301944,2.1293681,2.7893741,2.9640502,2.5628751,1.2541512,3.7691369,3.14053,3.6050071,3.2468587,3.4414747,2.4105809,3.4240767,4.1427306,3.2682087,2.3819245,1.7995988,1.3105593,0.1231845,0.8836133
P15,2.706166938,2.520031981,1.408026463,1.730224766,2.473627782,2.010073899,3.57439436,2.012913011,1.537126187,2.153532838,4.129734679,2.400368546,2.554898586,2.889345834,-0.011717679,2.459685403,2.930747543,2.727398977,0.078449816,2.511525632,1.99577502,2.57851829,1.186593217,1.893644446,1.202194174,1.744871457,1.061475254,2.573313482,2.030480046,2.565620385,1.833300012,2.094696601,2.488761239,2.023862613,2.553085635,2.273111961,3.000820912,2.237510488,1.981196609,2.048897421,2.039839447,2.573007719,2.740963113,0.760344244,0.810801339,2.719855889,2.617765503,0.864065647,1.966268431,2.400897743,1.743094682,2.449916224,1.854215809,2.018441214,1.186036777,2.474840789,1.835937107,2.230713677,2.549882069,-0.234339864,2.52807847,0.68233332,1.898775208,0.900461075,0.873274269,2.177786107,2.299206883,2.332024784,0.791845173,0.767188924,1.732139866,1.159521731,1.948410639,1.845186588,1.834280314,0.812155194,2.88324871,2.301243376,2.639796605,2.363665904,2.269684406,1.312680326,2.598382355,3.802440995,2.329392569,1.871770351,1.359916459,0.768920015,-0.004625787,0.869107693
P16,2.8294477,1.9872907,1.4216035,1.7712898,1.8934742,1.78261,3.2798547,1.4912932,1.6755427,1.9377661,4.2096756,2.2253573,2.2336328,2.5925923,-0.1124882,2.070332,2.7999159,2.137578,0.2953168,2.2300689,1.7941003,2.1134585,1.0193593,2.4002585,0.4508006,1.3546648,0.8662145,2.4625603,2.1698274,3.0737345,1.3396876,2.391453,2.5455155,2.1606567,2.7123355,2.3631112,2.5387882,2.0333889,1.6195275,1.8370488,1.3704895,2.9059188,3.4025654,2.1598444,0.827928,2.2445185,2.0558714,1.1252064,1.6139884,2.4448253,1.683071,2.0243394,1.2641954,1.5116733,1.1831935,2.4955789,1.9493339,1.8956907,1.9288278,-0.1365626,2.059293,0.7416236,1.4944132,1.0099491,0.5138898,1.7029394,1.7424967,1.3223246,0.5059414,0.4368385,0.8760821,1.0284415,1.3270036,1.7285449,1.2091153,0.4098812,2.7213076,1.9050154,1.9763496,2.0346017,1.8697849,1.3212199,2.3018369,3.0868245,2.2493714,1.0762271,1.7438216,1.5152834,0.2931729,1.0350478
P17,2.74624357,1.75000729,1.17651266,1.8545246,1.85844091,1.71204323,2.73636637,1.21006754,1.73515995,2.01506315,4.18668839,2.30885372,2.2087931,2.6077054,-0.38282576,1.70372686,2.33747823,1.71617992,-0.2637719,1.82222605,1.93628442,1.87435736,0.64671785,2.29315442,0.19833065,1.18342754,0.66670466,1.85885964,2.23174461,3.02772565,1.51827842,2.27039257,2.93825919,2.49131801,2.68023788,2.23540886,2.42702193,1.94709398,1.4802074,1.64572533,2.01601201,3.10286366,2.12122083,2.06611142,0.79649336,2.04965475,1.89224383,1.04972787,1.5443746,2.39918726,1.58218766,2.13926652,1.18778114,1.70486032,1.5379606,2.48161553,2.02554225,1.87772151,1.35120715,-0.69181206,1.76992877,0.35874226,0.97780804,0.26483646,0.70410232,1.35259517,1.25082285,0.9205097,0.17935295,0.08386817,1.07662644,0.83006924,1.11379146,1.55814683,1.35833156,0.47346972,2.7564809,2.00176068,2.03844747,2.1425402,1.78056307,1.57326359,2.1189703,2.61546934,2.06985297,1.21350966,1.29265493,1.55282608,-0.1209328,1.17672545
P18,3.08197646,2.04171823,1.05687054,1.64948265,1.74834337,1.39369804,2.8419873,1.31704286,1.58845151,1.90470511,3.952538,1.86598863,2.09570758,2.57114946,0.19451102,1.78673279,2.39441791,1.78803126,0.55027918,2.27140455,1.64838683,1.86166235,1.00140996,2.56192765,0.48240708,1.39297423,0.58170316,2.19325526,2.39926816,2.81787592,1.46513377,2.43682747,2.99422333,2.48560309,2.73687932,2.65614491,2.6814809,2.41141358,1.84802266,2.11480765,2.51704699,3.37231752,3.81561994,2.71533824,1.52620063,2.14960137,1.72983499,0.90404063,1.43271014,2.30749516,1.45249472,2.04154513,1.1678769,1.33879703,1.37965738,2.31872897,1.77190605,1.61100692,1.70407418,0.05919997,2.09843681,0.20385333,1.44968001,0.86323598,0.55094174,1.13438667,1.39790242,1.10439004,0.30570701,0.19691549,1.16588357,1.10925426,1.38795111,1.79001504,1.56041951,0.59607429,2.97393812,2.1044933,2.05908372,2.38356973,2.13373016,1.77899295,2.27190228,3.35120513,2.53030931,1.60542975,1.76653956,2.05859236,0.75321734,1.51352711
P19,1.855457535,0.844443039,0.250974412,0.496094014,1.237837084,1.059429986,2.409826037,0.367645999,0.633408901,1.091192967,2.727385323,1.579496951,0.988600674,1.612587843,-1.292643288,1.022758122,1.694013803,0.697159841,-1.027988149,1.075668124,0.884168219,-0.099006993,-0.048684376,-0.048310339,-0.698515709,0.53600332,-0.341737002,1.432105099,1.089636456,1.536675834,0.650595857,1.375876023,1.15755588,1.153971741,1.656071367,1.202269913,1.790691057,1.281831425,0.920845348,0.6232706,0.644712118,-0.179455319,1.931061129,0.663054343,-0.180682646,1.817706473,1.121850362,-0.007369994,0.556807489,1.129197756,0.648687229,1.41593551,0.167966277,0.287413265,0.149922112,1.931447575,1.109731036,0.97680496,0.422854971,-1.443280619,0.680663368,-0.354114446,0.020490277,-0.620896421,-0.184099941,0.39885927,-0.62011867,0.134035102,-1.168696051,-0.71268737,0.211072634,0.10006423,0.037060518,0.40101394,0.443020072,-0.797338045,1.872146599,0.999482954,1.191398663,1.128369726,0.783845868,0.534303246,1.06102189,1.77942766,2.092127416,0.434297201,1.099719215,0.245211156,-1.211063137,0.150971762
P20,2.5892482,2.2267686,1.4683971,1.4810482,2.2519847,2.5643139,3.2882873,2.1241518,1.4302107,2.1958766,3.5763387,2.273962,2.2367954,2.4078076,-0.1969984,1.9363955,2.8461349,2.5167884,0.1719577,2.2786612,1.8586495,2.3437484,1.3392771,1.7726379,1.5056686,1.6150984,0.9461653,1.7484147,1.8106907,2.2920151,1.9444847,1.8026062,2.5490192,1.9441255,2.2961688,2.1750772,2.9168381,2.0520973,2.3678273,2.1046323,1.9324511,2.5931922,2.3013166,2.1662952,1.0337285,2.2681066,2.4066352,1.1750354,1.336225,2.3617866,1.7847752,2.291559,2.0083035,1.7853959,1.3440967,2.8013947,1.6615684,2.2611711,1.8039747,-0.3822247,2.5929252,0.448603,1.6649332,1.4353918,0.6248061,2.5789385,1.7424204,2.1656098,0.581175,0.6576755,2.0052696,1.0264535,1.6987768,1.550065,1.1929102,0.5119256,2.6246508,2.0657424,2.4991274,2.2004402,2.1322457,1.5378298,2.8160719,4.3525738,2.0442094,1.8161848,2.1130013,1.2868927,0.1760279,1.0009186
P21,3.20492966,2.77834409,2.14399244,1.49784738,2.55178102,2.53243387,3.55941946,2.5675274,1.76477698,2.6152448,3.73940219,2.02831057,1.98722311,2.7532569,-0.05828076,1.67758566,2.57294996,2.73208977,0.02054783,2.30630503,1.51452441,2.58100737,0.91989495,1.40164053,2.224027,1.57369344,0.83647786,1.75000231,1.60285303,2.34009595,2.07990963,1.69653676,2.7918035,2.18074457,2.24447993,2.20847613,3.27803316,1.48777805,4.3993277,2.09631271,1.66900514,2.26862518,2.72772146,2.53998135,1.18755071,2.99744623,3.19457227,1.79584898,1.53399587,2.37973775,2.16318317,2.73675486,2.48882524,2.1355814,1.57864895,2.92821097,1.57850521,2.67763974,1.96911139,-0.17983533,2.64036533,0.24994237,1.54309972,1.30427331,0.37049503,2.85113903,1.65922391,2.63983758,1.12099405,0.81836554,2.00225642,0.92902501,2.25721255,1.30564228,1.00414902,1.19992995,2.57611124,2.14454933,2.30539938,2.77094021,2.77770638,1.52937273,3.13505759,4.58712183,2.05573371,1.92478259,1.82757855,1.59793815,0.37034318,1.15744182
P22,2.68880201,1.9336788,1.26376314,1.22670839,2.03369259,2.43651855,2.8826005,1.64321378,1.44929166,1.78422028,3.54011381,2.13742573,1.61838693,2.4289388,-0.37277754,1.65180162,2.6445769,2.29726418,-0.27018366,1.97545644,1.42624396,2.02860586,1.24175949,1.43690446,0.97625008,1.28842034,0.89021499,1.96161509,1.63708208,2.33719741,2.06347067,1.65977545,2.09581463,1.66577512,2.0948004,1.99170151,2.73276558,1.96310924,2.24814674,1.85100516,1.56737791,2.65029198,2.18313664,1.75424397,0.62722098,2.42464052,2.27141434,1.17527193,1.316442,2.36913574,1.81950912,2.00993714,1.43909818,1.54100869,1.09429892,2.36957594,1.52885836,1.57663908,1.99681289,-0.70658098,2.14738801,0.20268225,1.29307944,0.98735237,0.2158861,2.99776865,1.56822463,2.0002461,0.57329802,0.43771517,1.65701524,0.76622669,1.48069637,1.6665464,1.34095752,0.23754426,2.36333699,1.696927,2.53092179,1.99806387,1.90972149,1.38768589,2.55634721,3.85486086,1.82432596,1.83157643,1.90752006,1.08742568,-0.07438784,0.82532939
P23,3.28390419,2.58811313,2.00995038,1.66130613,2.68037168,2.69435091,3.65723665,2.36984879,2.0190573,2.42441756,3.7288989,2.27745123,2.33451243,2.78773449,0.38636053,2.03974444,2.80864053,2.87751793,0.1515199,2.55951158,1.79522622,2.77152716,1.248036,1.62081494,1.99728117,1.79415527,1.29464873,1.91825707,2.37835711,2.7612695,2.16985157,1.94538908,2.77474734,2.09726795,2.5311294,2.3928128,3.59502613,2.54672385,2.40780897,2.40928201,2.04494514,2.4318862,2.59340313,2.49419736,1.24851346,2.74883216,2.58034868,1.73174621,1.82731405,2.84450267,2.0096842,2.55645546,2.07189521,2.22692423,1.7669547,3.13973635,1.96989443,2.32881922,2.83381306,0.01398823,2.89148657,0.77597942,1.88138697,1.2112311,0.75785935,2.75531515,1.76672643,2.59009393,0.61737939,1.03388208,2.1924637,0.9572256,2.4480737,1.66218813,1.64568201,0.99184218,2.67179735,2.28480747,2.42998817,2.72085983,2.86461471,2.07698692,3.35940833,4.65909722,2.00175019,1.6662568,2.2482314,1.5563114,0.7379605,1.18913397
P24,2.6156012,1.9849623,1.7127132,1.7674902,2.1862857,2.6436802,3.6981591,1.7653705,2.0258389,2.1384166,4.0165399,2.3771148,2.0358403,2.5431127,0.5133102,2.2294518,3.0273568,2.6416385,0.4817026,2.9620223,2.3931831,2.8099589,1.2506056,2.3406043,1.488195,1.8816182,1.2701365,2.2601788,2.6862975,3.0545755,2.3346372,2.0357766,3.1419301,2.2453655,2.4345842,2.9651265,3.3299061,2.8340906,2.5047302,2.4184139,2.4790182,3.2978429,2.6222796,2.2490879,1.0581732,2.2304517,1.8992693,1.017273,1.4815864,2.3891987,2.2974455,2.8640617,1.5363137,1.7387475,1.4099124,2.7532361,1.9102495,2.1299166,2.9208753,0.1030743,2.8811366,1.216964,2.0873897,1.8458922,1.0458495,3.1988123,2.4953146,2.2825392,0.7028631,1.0023311,2.0270369,1.3648617,2.4813407,2.296266,2.194276,0.7092613,2.7657542,2.4709935,2.642125,2.551201,2.7434697,2.0769844,3.3530961,4.6288093,2.5704678,2.4672427,2.501836,1.5369053,0.5511048,1.1499722
